oblast,number
Одеська область,"13,8"
Львівська область,8
Київська область,"7,7"
Івано-Франківська область,"7,4"
Закарпатська область,"7,2"
Запорізька область,"6,6"
Дніпропетровська область,"6,4"
Херсонська область,"5,9"
Черкаська область,"3,7"
Харківська область,"3,2"
Полтавська область,"2,9"
Чернігівська область,"2,1"
Миколаївська область,"2,1"
Вінницька область,"2,1"
Волинська область,"1,6"
Донецька область,"1,6"
Житомирська область,"1,3"
Хмельницька область,"1,1"
Сумська область,"1,1"
м. Київ,"1,1"
Чернівецька область,"1,1"
Рівненська область,"1,1"
Тернопільська область,"1,1"
Кіровоградська область,"0,8"
Луганська область,"0,5"
